"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,     "rms[nu]"    
          0,           0,         197,      -6.028426009,      -2.308889456,      -4.398732983,     -0.5189700675,      -6.630716273
          0,           0,         198,      -5.952985398,      -2.311956892,      -4.104381986,     -0.4492568547,      -6.626735268
          0,           0,         199,      -6.050896098,      -2.312985242,      -4.283125013,     -0.5399436179,      -6.622569848
          0,           0,         200,      -6.033005078,      -2.314489738,       -4.35972731,     -0.5223443719,      -6.614417492
          0,           0,         201,      -5.952004289,      -2.317511112,      -4.080981018,     -0.4488332319,      -6.610497777
          0,           0,         202,      -6.054875726,      -2.318536765,      -4.263837523,      -0.544009707,      -6.606396284
          0,           0,         203,       -6.03548601,      -2.320022536,      -4.327406039,     -0.5255122768,      -6.598325822
          0,           0,         204,      -5.949411638,      -2.322991314,      -4.061705921,     -0.4482095105,      -6.594378158
          0,           0,         205,      -6.057022804,      -2.324015363,      -4.249389609,     -0.5478795524,      -6.590304728
          0,           0,         206,      -6.036198679,      -2.325487086,      -4.304592881,     -0.5284114806,      -6.582329874
          0,           0,         207,      -5.945518523,      -2.328411258,      -4.046902826,     -0.4472501767,      -6.578457882
          0,           0,         208,      -6.057512622,      -2.329434509,      -4.238333999,     -0.5515866766,      -6.574458808
          0,           0,         209,      -6.035428798,      -2.330889532,      -4.289531428,     -0.5311386717,       -6.56660299
          0,           0,         210,      -5.940616268,      -2.333761153,      -4.035012564,     -0.4459457401,      -6.562773537
          0,           0,         211,      -6.056970897,      -2.334785134,      -4.228984789,     -0.5550339625,      -6.558804199
          0,           0,         212,      -6.033758468,      -2.336227671,      -4.277636668,     -0.5335322926,      -6.551028168
          0,           0,         213,      -5.935061919,      -2.339059004,       -4.02321086,     -0.4440505619,      -6.547266669
          0,           0,         214,      -6.055746547,      -2.340087628,      -4.218058104,     -0.5581711414,      -6.543372472
          0,           0,         215,      -6.031512028,       -2.34151904,      -4.264357389,     -0.5355906805,       -6.53575046
          0,           0,         216,      -5.929120803,      -2.344304609,      -4.009399842,     -0.4416320283,      -6.532141988
          0,           0,         217,      -6.054182984,      -2.345338066,      -4.204434071,     -0.5609219091,      -6.529972909
          0,           0,         218,      -6.074570031,      -2.346060913,       -4.28909521,     -0.5770532574,       -6.52613242
          0,           0,         219,      -6.029821492,      -2.347531429,      -4.222095029,     -0.5377455918,      -6.518599397
          0,           0,         220,      -5.923216758,       -2.35030377,      -3.972112076,     -0.4389756352,      -6.515058027
          0,           0,         221,      -6.052895379,      -2.351351769,      -4.189664749,     -0.5638527254,      -6.512947795
          0,           0,         222,      -6.074478577,       -2.35207313,      -4.271030243,     -0.5812052656,      -6.509188925
          0,           0,         223,      -6.026862863,      -2.353530868,      -4.186457858,     -0.5385367739,      -6.501830269
          0,           0,         224,      -5.916457458,      -2.356253752,      -3.949006796,     -0.4346349693,      -6.498540657
          0,           0,         225,      -6.051593919,      -2.357321301,      -4.169515423,     -0.5661756011,      -6.496487179
